# mu	 epsilon	 mse	 qfi	 cfi_det
2.36557377e+00	9.69619248e-02	6.96697221e-02	3.66536572e+01	2.56264580e+01
2.36556639e+00	9.69168054e-02	6.97323524e-02	3.66536907e+01	2.56411482e+01
2.36556475e+00	9.67261979e-02	6.98732444e-02	3.66537252e+01	2.57063745e+01
2.36556827e+00	9.67046512e-02	6.98891577e-02	3.66537183e+01	2.57024111e+01
2.36557644e+00	9.68352591e-02	6.95696129e-02	3.66537266e+01	2.56087448e+01
2.36557879e+00	9.68028063e-02	6.95928282e-02	3.66537321e+01	2.56150629e+01
2.36557591e+00	9.66235987e-02	6.97253343e-02	3.66536722e+01	2.56698071e+01
2.36556832e+00	9.66123119e-02	6.99575572e-02	3.66536633e+01	2.57290958e+01
2.36556648e+00	9.67521538e-02	6.98540062e-02	3.66537307e+01	2.56886883e+01
2.36556983e+00	9.70280115e-02	6.96494975e-02	3.66535908e+01	2.56099551e+01
